Title,Author,Price,Link,ISBN,Description,PublishedDate,ImgUrl,Categories
LOS CUADERNOS DE DON RIGOBERTO,Mario Vargas Llosa,12000,https://feriachilenadellibro.cl/producto/9788490625903-los-cuadernos-de-don-rigoberto/,9788490625903,"La obra definitiva de Mario Vargas Llosa sobre el erotismo. Rigoberto, un maduro empleado de una compañía de seguros, combate su banal existencia con una rica imaginación que va plasmando en cuadernos. Todo lo que Rigoberto no se atreve a hacer, no se atreve a vivir por sí mismo, sus audacias y aventuras imaginadas, sus deseos ocultos, van quedando reflejados en estas anotaciones que lo distancian cada vez más de su vulgar existencia. Los cuadernos son como un baúl del que se van extrayendo inesperados relatos, atesorados por el personaje con mayor celo que si fueran reales, y constituyen un refinado compendio de la imaginación erótica. Pero la particularidad de estas fantasías es que parten siempre de pinturas, obras literarias y piezas musicales conformando un verdadero y exquisito índice de la pintura y la literatura eróticas de todos los tiempos. Como contrapunto al florido universo de don Rigoberto está el inquietante y perturbador ambiente que se forja alrededor de su hijo, Fonchito. Obsesionado con la vida y la obra del pintor austríaco Egon Schiele, el muchacho se sueña como la encarnación del pintor maldito y su misterioso mundo de niñas perversas y autorretratos angustiosos. Entre los dos personajes, la madrastra. Una mujer que es para ambos la figura principal de ese doble mundo de deseos y realidades. Una mujer a la medida de sus más exigentes fantasías. En Los cuadernos de don Rigoberto (1997) se despliegan ante el lector las claves que nuestra memoria cultural ha dado, a través del arte, sobre los misterios del placer sensual. ENGLISH DESCRIPTION Don Rigoberto fills pages with notes, comments, and fantasies to protect himself from ordinariness. He also uses them to escape the longing he feels for Lucrecia, his wife, from whom he's separated as a result of something that transpired between her and his son.",2015-10-20,http://books.google.com/books/content?id=MHKREAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Fiction']
LAS RECETAS DE UME 1,Ai Nimoda,13900,https://feriachilenadellibro.cl/producto/9788418524424-las-recetas-de-ume-1/,9788418524424,"Learn to cook with Ume as you follow his adventures in adult life... Ume led a very comfortable life: he lived with his sister and didn't have to worry about cooking, cleaning or thinking about day-to-day life. But, overnight, his sister decides to get married and he is left alone. What will become of him? As much as he wants to learn how to cook to eat healthy, he leaves work very late and comes home very tired. How do you maintain a healthy lifestyle under these conditions? That's when he discovers the Tsukuoki lifestyle, which consists of cooking for the whole week during the weekend. That's how Ume dives into a new world full of delicious food and dishes to discover!",2024-02-27,http://books.google.com/books/content?id=Dx8n0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Comics & Graphic Novels']
LAS CUATRO ARTES,Denis Criado,24900,https://feriachilenadellibro.cl/producto/9788411212281-las-cuatro-artes/,9788411212281,"«Este es un libro maravilloso, y doy mi más alta recomendación.» — Ken Wilber. Todos deseamos alcanzar la felicidad y la plenitud de la vida, pero según la tradición india del Yoga, la sociedad nos condiciona para que la busquemos fuera de nosotros, generando una vida de ansiedad y malos hábitos. Denis Criado nos recuerda que la felicidad y la plenitud no dependen de personas u objetos externos, sino de la relación sabía que tengamos con nosotros mismos para sentirnos ecuánimes, seguros y conectados con el mundo. En Las Cuatro Artes se ofrecen prácticas yóguicas ancestrales –más allá de la esterilla– para dejar atrás los pensamientos, sentimientos y hábitos que nos hacen sufrir. El autor revela que el despertar de la consciencia puede conducirnos a una vida con mayor propósito y liberarnos de las heridas del pasado. Así entendido, desarrollar un estilo de vida consciente y holístico permite aumentar la vitalidad, mejorar la salud, cultivar relaciones sanas y, de este modo, alcanzar nuestro máximo potencial.",2024-02-27,,['Health & Fitness']
LAS AMAS DE LLAVES,Alex Hay,29900,https://feriachilenadellibro.cl/producto/9788419235084-las-amas-de-llaves/,9788419235084,,,,
LA SANGRE DEL OLIMPO (LOS HEROES DEL OLIMPO 5),Rick Riordan,19000,https://feriachilenadellibro.cl/producto/9788490431276-la-sangre-del-olimpo-los-heroes-del-olimpo-5/,9788490431276,"Un ejército de gigantes. Dos batallas a vida o muerte. Y siete héroes dispuestos a impedir el fin del mundo. Los tripulantes del Argo II han salido victoriosos de sus misiones, pero están lejos de derrotar a Gaia, la Madre Tierra. Ella ha conseguido alzar a todos sus gigantes y planea sacrificar a dos semidioses en la festividad de Spes: necesita su sangre, la sangre del Olimpo, para despertar. Por otro lado, la legión romana del Campamento Júpiter, liderada por Octavio, está cada día más cerca del Campamento Mestizo. La Atenea Partenos deberá dirigirse al oeste para impedir la guerra entre los campamentos, mientras el Argo II navega hacia Antenas... ¿Cómo podrán los jóvenes semidioses derrotar a los gigantes de Gaia? Ya han sacrificado demasiado, pero si Gaia despierta... será el final. ENGLISH DESCRIPTION Though the Greek and Roman crewmembers of the Argo II have made progress in their many quests, they still seem no closer to defeating the earth mother, Gaea. Her giants have risen-all of them-and they're stronger than ever. They must be stopped before the Feast of Spes, when Gaea plans to have two demigods sacrificed in Athens. She needs their blood-the blood of Olympus-in order to wake. The demigods are having more frequent visions of a terrible battle at Camp Half-Blood. The Roman legion from Camp Jupiter, led by Octavian, is almost within striking distance. Though it is tempting to take the Athena Parthenos to Athens to use as a secret weapon, the friends know that the huge statue belongs back on Long Island, where it might be able to stop a war between the two camps. The Athena Parthenos will go west; the Argo II will go east. The gods, still suffering from multiple personality disorder, are useless. How can a handful of young demigods hope to persevere against Gaea's army of powerful giants? As dangerous as it is to head to Athens, they have no other option. They have sacrificed too much already. And if Gaea wakes, it is game over.",2019-04-23,http://books.google.com/books/content?id=BHKREAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Juvenile Fiction']
LA ORGIA PERPETUA,Mario Vargas Llosa,12000,https://feriachilenadellibro.cl/producto/9788490626177-la-orgia-perpetua/,9788490626177,"En este brillante ensayo, Mario Vargas Llosa analiza una de las novelas que han marcado su carrera como escritor: Madame Bovary de Gustave Flaubert, considerado el fundador de la novela moderna y uno de los maestros indiscutibles de todos los narradores posteriores. «Hacía años que ninguna novela vampirizaba tan rápi damente mi atención, abolía así el contorno físico y me sumergía tan hondo en su materia.» Mario Vargas Llosa La pesquisa del narrador peruano tantea tres diferentes vías de aproximación al texto flaubertiano: en una primera parte, de tono autobiográfico, Vargas Llosa se retrata a sí mismo como lector enfervorizado y pasional. La segunda parte es un análisis exhaustivo de Madame Bovary, cómo es y lo que significa una obra en la que se combinan con pericia la rebeldía, la violencia, el melodrama y el sexo. En la tercera parte se rastrea la relación de la obra de Flaubert con la historia y el desarrollo del género más representativo de la literatura moderna: la novela. Mario Vargas Llosa resulta tan solvente en su faceta de crítico literario como lo es en su oficio de narrador. Del encuentro de una inteligencia narrativa como la del novelista peruano con la obra más importante de uno de los autores esenciales de la literatura universal nace un ensayo que vale por todo un curso de literatura ENGLISH DESCRIPTION In this brilliant essay, Vargas Llosa examines Madame Bovary, by Gustave Flaubert, who is considered the founder of the modern novel and an indisputable influence on future novelists.",2015-10-20,http://books.google.com/books/content?id=fHKREAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Literary Criticism']
LA MAGIA DE SER TU MISMO,Osho,11000,https://feriachilenadellibro.cl/producto/9788490328460-la-magia-de-ser-tu-mismo/,9788490328460,"Las enseñanzas de Osho para seguir en nuestro camino de despertar y encontrarnos a nosotros mismos.Nadie puede decirnos quiénes somos realmente, pero todos buscamos una definición de nosotros mismos que venga de fuera.La magia de ser tú mismo es la respuesta que hallamos cuando empezamos a buscarnos y no encontramos objetividad, sino subjetividad# y este descubrimiento es como una bendición, como un éxtasis, que permite que dejemos de buscar el camino hacia el paraíso «allí fuera».Parte de nuestra experiencia cotidiana está moldeada por la religión y los condicionantes sociales y ni siquiera somos conscientes de ello. Osho nos explica que constantemente estamos siendo pulidos de la única naturaleza con la que cada uno de nosotros ha nacido. Esta única y original naturaleza es reemplazada por nuestro falso yo, el «ego», que toma las riendas y el control de nuestra creatividad, lo que significa para nosotros tener éxito, nuestras relaciones personales y la experiencia personal de quien somos. Al mismo tiempo la colección de «egos» conocida como sociedad da forma a nuestras instituciones políticas, educativas y religiosas, que siguen transmitiendo los mismos patrones a las nuevas generaciones de seres humanos inocentes.La vigilancia, la conciencia y la alerta nos ayudaran en este extraordinario y valiente viaje hacia nosotros mismos. (Fuente: www.todostuslibros.com).",2014-06,,
LA CIVILIZACION DEL ESPECTACULO,Mario Vargas Llosa,11000,https://feriachilenadellibro.cl/producto/9788490625590-la-civilizacion-del-espectaculo/,9788490625590,"En el pasado, la cultura fue una especie de conciencia que impedía dar la espalda a la realidad. Ahora, actúa como mecanismo de distracción y entretenimiento. «La cultura, en el sentido que tradicionalmente se ha dado a este vocablo, está en nuestros días a punto de desaparecer.»,-Mario Vargas Llosa La banalización de las artes y la literatura, el triunfo del periodismo amarillista y la frivolidad de la política son síntomas de un mal mayor que aqueja a la sociedad contemporánea: la idea temeraria de convertir en bien supremo nuestra natural propensión a divertirnos. En el pasado, la cultura fue una especie de conciencia que impedía dar la espalda a la realidad. Ahora, actúa como mecanismo de distracción y entretenimiento. La figura del intelectual, que estructuró todo el siglo XX, hoy ha desaparecido del debate público. Aunque algunos firmen manifiestos o participen en polémicas, lo cierto es que su repercusión en la sociedad es mínima. Conscientes de esta situación, muchos han optado por el discreto silencio. Como buen espíritu incómodo, Vargas Llosa nos entrega una durísima radiografía de nuestro tiempo y nuestra cultura. «Este pequeño ensayo no aspira a abultar el elevado número de interpretaciones sobre la cultura contemporánea, solo a dejar constancia de la metamorfosis que ha experimentado lo que se entendía aún por cultura cuando mi generación entró a la escuela o a la universidad y la abigarrada materia que la ha sustituido, una impostura que parece haberse realizado con facilidad, en la aquiescencia general.»,-Mario Vargas Llosa ENGLISH DESCRIPTION In the past, culture was a type of consciousness that kept people from turning their backs on reality. Now, it acts as a mechanism of distraction and entertainment. “Culture, in the sense that this word has traditionally held, is currently about to disappear.” –Mario Vargas Llosa The trivialization of the arts and literature, the triumph of sensationalist journalism, and political frivolousness are symptoms of a deeper illness afflicting contemporary society: the reckless idea of turning our natural propensity for having fun into the highest goal. The figure of intellectuals, which the entire 20th century gave shape to, has today disappeared from public debate. Although some sign manifestos or participate in controversies, it is undeniable that their impact on society is minimal. Conscious of this situation, many have opted for discreet silence. Like a good restless spirit, Vargas Llosa delivers a harsh x-ray of our time and our culture. “This short essay does not aspire to add to the list of interpretations of modern culture, but to leave proof of the metamorphosis that has afflicted what we considered “culture” when my generation started school or university, and the disjointed substance that has replaced it: a fraud that seems to have been committed easily, in general acquiescence.” –Mario Vargas Llosa",2018-09-25,http://books.google.com/books/content?id=XnKREAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Literary Collections']
LA CIUDAD DE LAS BESTIAS,Isabel Allende,12000,https://feriachilenadellibro.cl/producto/9789588611785-la-ciudad-de-las-bestias/,9789588611785,,2005,,
GATURRO GRANDISIMO,Nik,24500,https://feriachilenadellibro.cl/producto/9789876372541-gaturro-grandisimo/,9789876372541,,2013,,['Argentine wit and humor']
