Title,Author,Price,Link,ISBN,Description,PublishedDate,ImgUrl,Categories
ESCUELAS DESPIERTAS,Pilar Aguilera,49900,https://feriachilenadellibro.cl/producto/9788411211925-escuelas-despiertas/,9788411211925,,,,
EL SUEÑO DEL CELTA,Mario Vargas Llosa,14000,https://feriachilenadellibro.cl/producto/9788490626092-el-sueno-del-celta/,9788490626092,"Una novela mayor del PREMIO NOBEL DE LITERATURA 2010. Mario Vargas Llosa se adentra en la peripecia vital de un hombre que fue leyenda. La aventura que narra esta novela empieza en el Congo en 1903 y termina en una cárcel de Londres, una mañana de 1916. Aquí se cuenta la peripecia vital de un hombre de leyenda: el irlandés Roger Casement. Héroe y villano, traidor y libertario, moral e inmoral, su figura múltiple se apaga y renace tras su muerte. Casement fue uno de los primeros europeos en denunciar los horrores del colonialismo. De sus viajes al Congo Belga y a la Amazonía sudamericana quedaron dos informes memorables que conmocionaron a la sociedad de su tiempo. Estos dos viajes y lo que allí vio cambiarían a Casement para siempre, haciéndole emprender otra travesía, en este caso intelectual y cívica, tanto o más devastadora. La que lo llevó a enfrentarse a una Inglaterra a la que admiraba y a militar activamente en la causa del nacionalismo irlandés. También en la intimidad, Roger Casement fue un personaje múltiple: la publicación de fragmentos de unos diarios, de veracidad dudosa, en los últimos días de su vida, airearon unas escabrosas aventuras sexuales que le valieron el desprecio de muchos compatriotas. El sueño del celta (2010) describe una aventura existencial, en la que la oscuridad del alma humana aparece en su estado más puro y, por tanto, más enfangado. La crítica ha dicho: «El sueño del celta reúne algunas de las mejores virtudes del escritor y se integra, además, en la estela de motivos temáticos fundamentales reiterados a lo largo de su obra.» Ricardo Senabre, El Cultural «Vargas Llosa no tiene rival: en El sueño del celta la tarea de lectura y documentación previa es ingente, descomunal y titánica. Pero jamás abruma al lector. He aquí el primer mérito de esta novela: contar una historia como si todo fuera verdad escondiendo la mentira. El segundo mérito estriba en el dominio absoluto y constante del creador sobre su criatura. Ha escrito novelas más complejas técnicamente, pero la estructura de esta queda perfectamente encajada en lo que el novelista se ha propuesto... Con un dominio absoluto de la novela, que empieza en 1903 y acaba en una cárcel de Londres en 1916, demuestra por qué la Academia sueca lo premió con el Nobel.» Ricardo Baixeras, El Periódico «El sueño del celta dibuja, con los recursos de la ficción, los despiadados entresijos del poder y la fuerza de la individualidad... La novela avanza envolvente, a ritmo impecable, y nos sumerge en una crónica sobrecogedora del despotismo, con unos personajes tan enraizados en su doliente y contradictoria humanidad que hacen de esta novela un gran regalo literario.» C. Méndez, Expansión «Una novela que aspira a abarcar todo el inabarcable espacio de la vida de un hombre... Con esa manera de contar de Vargas Llosa que emboba, arrastra, hipnotiza y demuestra una vez más que, en efecto, la muerte lo encontrará escribiendo, pues, pasados los 70 años, escribir un prodigio como El sueño del celta mueve a envidia, admiración ilimitada y aplauso cerrado.» Francisco García Pérez, Información «De nuevo en el mundo ficticio de Vargas Llosa se revela en toda su crudeza la verdad de las mentiras. Innecesarios los elogios.» Juan A. Masoliver Ródenas, La Vanguardia (Cultura/s) ENGLISH DESCRIPTION Four years after publishing Travesuras de la niña mala, Vargas Llosa has completed El sueño del celta, a work based on the provocative life of Irishman Roger Casement, one of the first to document human rights abuses in European-ruled colonies. Casement's shocking revelations exposed a painful truth: Europeans were committing unspeakably barbarous acts in the name of commerce, civilization, and Christianity. What Casement witnessed ultimately led him to confront England and the imperialist policies enforced in his native Ireland. He became a militant for the Irish Nationalist cause and during World War I conspired with the German government to purchase weapons for a revolt set to take place during the Easter holiday. But the weapons never made it to Irish shores, and the British brutally suppressed the Easter Rising. All Irish rebel leaders, including Casement, were executed. Many pleaded clemency for Casement including Arthur Conan Doyle, W.B. Yeats, and George B. Shaw.",2015-10-20,http://books.google.com/books/content?id=bHKREAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Fiction']
EL PROBLEMA DE LOS TRES CUERPOS,Liu Cixin,19000,https://feriachilenadellibro.cl/producto/9789569998256-el-problema-de-los-tres-cuerpos/,9789569998256,,,,
EL CORONEL NO TIENE QUIEN LE ESCRIBA,Gabriel Garcia Marquez,10000,https://feriachilenadellibro.cl/producto/9789588886121-el-coronel-no-tiene-quien-le-escriba/,9789588886121,"El coronel no tiene quien le escriba fue escrita por Gabriel García Márquez durante su estancia en París, adonde había llegado como corresponsal de prensa y con la secreta intención de estudiar cine, a mediados de los años cincuenta. El cierre del periódico para el que trabajaba le sumió en la pobreza, mientras redactaba en tres versiones distintas esta excepcional novela, que fue rechazada por varios editores antes de su publicación. Tras el barroquismo faulkneriano de La hojarasca, esta segunda novela supone un paso hacia la ascesis, hacia la economía expresiva, y el estilo del escritor se hace más puro y transparente. Se trata también de una historia de injusticia y violencia: un viejo coronel retirado va al puerto todos los viernes a esperar la llegada de la carta oficial que responda a la justa reclamación de sus derechos por los servicios prestados a la patria. Pero la patria permanece muda.",2022,,['Colombia']
EL ARTE DE ENGAÑAR AL KARMA,Elisabet Benavent,21000,https://feriachilenadellibro.cl/producto/9788491291930-el-arte-de-enganar-al-karma/,9788491291930,"Más de 100 mil ejemplares vendidos. Una aspirante a actriz cansada de hacer castings... Un artista reconocido en plena crisis creativa... Unos valiosos cuadros encontrados en un desván... Y el arte del engaño para cambiar las leyes del karma. Después de vender más de 3.000.000 de ejemplares de sus novelas, Elísabet Benavent vuelve con El arte de engañar al karma, una novela donde despliega su virtuosismo narrativo, la magia para crear historias, con un estilo lleno de risas y lágrimas, en una novela sorprendente, llena de belleza y arte en la que las mujeres dejan de ser musas para ser creadoras. Y volar alto. Por encima de cualquier expectativa. ENGLISH DESCRIPTION An aspiring actress, tired of auditioning... A renowned artist going through a creative crisis... Some valuable paintings found in an attic... And the art of deception, in order to change the laws of karma. After selling more than three million copies of her novels, Elísabet Benavent returns with The art of cheating karma, a novel where she displays yet again her narrative virtuosity, the magic of storytelling, and a literary style overflowing with laughter and tears. It is an amazing novel, full of beauty and art, where women are no longer muses, but creators. They fly high. Far beyond any expectation.",2021-07-20,http://books.google.com/books/content?id=zHSREAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Fiction']
DOCE VIAJES,Ana Sesma Nuez,27900,https://feriachilenadellibro.cl/producto/9788411211994-doce-viajes/,9788411211994,,,,
CORAZON DE ACERO,T. Kingfisher,29900,https://feriachilenadellibro.cl/producto/9788418431074-corazon-de-acero/,9788418431074,,2000,,
COLORLESS 2,Kent,21900,https://feriachilenadellibro.cl/producto/9788418524486-colorless-2/,9788418524486,"Japan's most popular sci-fi dystopia... A cosmic disaster stripped color from the Earth, leaving behind a mutated humanity that lives in a world of moody black and grey. Most of the technology and history of the old world is forgotten, but there is tantalizing promise in the dangerous new field of chromadynamics. A rogue scientist named Avidia is on the hunt for the world's last remaining scraps of color, but he's not the only one. A mysterious cult has found a way to turn pigment into fearsome power, and they'll kill anyone who challenges their authority. Armed with his wits and peerless gun, it'll take everything Adivia has to stay one step ahead!",2024-02-27,http://books.google.com/books/content?id=WQAo0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Comics & Graphic Novels']
BRUTAL : CONFESIONES DE UN DETECTIVE DE HOMICIDIOS 1,Ryo Kei / Izawa Koga,13900,https://feriachilenadellibro.cl/producto/9788418524608-brutal-confesiones-de-un-detective-de-homicidios-1/,9788418524608,"Homicide detective Dan Hiroki, son of the former Superintendent General of Police, seems to be on the fast track to career success. But...he also maintains a secret identity as a serial killer responsible for the murders of more than a hundred people whom he had deemed beyond the reach of the Law.",2023-01-24,http://books.google.com/books/content?id=9UBgzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Comics & Graphic Novels']
BLUEY : JUEGOS Y DIVERSION,Vv. Aa.,10000,https://feriachilenadellibro.cl/producto/9789877364170-bluey-juegos-y-diversion/,9789877364170,,,,
