Title,Author,Price,Link,ISBN,Description,PublishedDate,ImgUrl,Categories,AvgRating,RatingsCount
50 historias de mujeres y niñas que cambiaron el mundo,Katherine Halligan,17820,https://contrapunto.cl/no-ficcion-informativo/2074-50-historias-de-mujeres-y-ninas-que-cambiaron-el-mundo.html,9789562571760,,,,,,
Mi primer diccionario ilustrado de animales,Maxine Davenport y Cindy Roberts,8820,https://contrapunto.cl/prelectores/8102-mi-primer-diccionario-ilustrado-de-animales.html,9789562572347,,,,,,
Cómo dibujar animales lindos,Angela Nguyen,12420,https://contrapunto.cl/guias-de-dibujo/7863-como-dibujar-animales-lindos.html,9789562571975,,,,,,
Historias de fantasmas de Japón,Benjamin Lacombe,37620,https://contrapunto.cl/categorias/8629-lacombe-historias-de-fantasmas-de-japon.html,9788414024959,,2019-10,,,,
Diseña tus paletas de color para bordar,Colección: Diy,26820,https://contrapunto.cl/tecnicas-de-tejido/2301-disena-tus-paletas-de-color-para-bordar.html,9788425231551,"La explosión de color que desprenden las piezas bordadas son un auténtico regalo para los sentidos. Y es que, además del relieve y la textura, una de las razones que hacen del bordado una técnica cautivadora son sus maravillosos juegos cromáticos. Seas experto o principiante, este libro te enseña a idear tus propias paletas de color para que puedas sacarle todo el potencial a tus creaciones. · Entender el color: aprende los conceptos básicos de la teoría del color como el valor, la saturación o la temperatura, y cómo trabajar con cartas y esquemas de color. · Crear tus propias paletas: entrena tu ojo para identificar aquellos colores que forman parte de los objetos, las escenas y los lugares de tu vida cotidiana e incluso de tus recuerdos y asociaciones, y diseña tus propias cartas creando paletas frescas y originales. ·Proyectos: ponlo todo en práctica y con plantillas y patrones, elabora cinco bellos proyectos de bordado.",2019,http://books.google.com/books/content?id=PTsuwQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Art'],,
Las emociones,Alice Le Hénand -,13860,https://contrapunto.cl/prelectores/3313-soy-mayor-las-emociones.html,9788414017272,"Los protagonistas de este libro tienen que aprender a manejar sus emociones: tristeza, asco, alegría, miedo o impaciencia. Asimilar nuevos hábitos forma parte del aprendizaje de los más pequeños. Esta colección les ayuda a conseguirlo a través de las experiencias de sus simpáticos personajes.",2019,,['Board books'],,
Bordado en miniatura,Irem Yazici,13320,https://contrapunto.cl/manualidades/7869-bordado-en-miniatura.html,9789562572132,,,,,,
100 cosas para descubrir,Naomi Wilkinson,8820,https://contrapunto.cl/actividades-y-libro-juego/998-100-cosas-para-descubrir.html,9789562571708,,,,,,
1.000 cosas,Anna Kövecses,8820,https://contrapunto.cl/actividades-y-libro-juego/999-1000-cosas.html,9789562571692,,,,,,
Historia secreta mapuche,Cayuqueo Pedro,15210,https://contrapunto.cl/literatura-no-ficcion/787-historia-secreta-mapuche.html,9789563244175,,2017,,['Mapuche Indians'],,
Enciclopedia de plantas medicinales,Andrew Chevallier,42120,https://contrapunto.cl/arboles-y-plantas/2079-enciclopedia-de-plantas-medicinales.html,9789562571746,,,,,,
El cuerpo humano por dentro,Cristina Junyent,19620,https://contrapunto.cl/no-ficcion-informativo/8936-el-cuerpo-humano-por-dentro.html,9788491014478,"""Dentro de tu cabeza, el cerebro es como un director de orquesta. A partir de las órdenes que envía ¡podrás descubrir cómo funciona el cuerpo por dentro! ¡Levanta las solapas de esta guía visual con curiosidades y anecdotas para descubrir cómo trabaja el cuerpo POR DENTRO!""--Provided by publisher.",2020-12,http://books.google.com/books/content?id=RkJIzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Juvenile Nonfiction'],5,1
Psicología del color,Eva Heller,49320,https://contrapunto.cl/teoria-e-historia-del-diseno/1524-psicologia-del-color.html,9788425219771,"Este libro aborda la relación de los colores con nuestros sentimientos y demuestra cómo ambos no se combinan de manera accidental, pues sus asociaciones no son meras cuestiones de gusto, sino experiencias universales que están profundamente enraizadas en nuestro lenguaje y en nuestro pensamiento. Proporciona una gran cantidad y variedad de información sobre los colores, como dichos y saberes populares, su utilización en el diseño de productos, los diferentes tests que se basan en colores, la curación por medio de ellos, la manipulación de las personas, los nombres y apellidos relacionados con colores, etc. Esta diversidad lo se convierte en una herramienta fundamental para todas aquellas personas que trabajan con colores - artistas, terapeutas, diseñadores gráficos e industriales, interioristas, arquitectos, diseñadores de moda, publicistas, entre otros.",2004,http://books.google.com/books/content?id=fcfsAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Psychology'],4.5,3
Calma. 50 ejercicios de mindfulness y relajación,Dra. Arlene K. Unger,10620,https://contrapunto.cl/meditacion-y-mindfulness/2070-50-ejercicios-de-mindfulness-y-relajacion-calma.html,9789562571500,,,,,,
A veces me enojo,Colección: Pequeños grandes sentimientos,9720,https://contrapunto.cl/libros-interactivos/11184-a-veces-me-enojo.html,9789562572644,,,,,,
El libro de las grandes ideas científicas,Freya Hardy. Ilustrado por Sara Mulvanny,14580,https://contrapunto.cl/ciencias-y-naturaleza/8197-el-libro-de-las-grandes-ideas-cientificas.html,9789562572378,,,,,,
Sigue el trazo - Hora de dormir,Fhiona Galloway,6840,https://contrapunto.cl/prelectores/8108-sigue-el-trazo-hora-de-dormir.html,9789562572354,,,,,,
El libro de los símbolos,Archive for Research in Archetypal Symbolism (ARAS),44820,https://contrapunto.cl/religion-y-mitologia/1611-el-libro-de-los-simbolos.html,9783836525732,"This encyclopedia explores the hidden meanings of visual symbols across time and geography, from the sun to whales and the human hand. Spanning different eras and cultures, over 800 beautiful images combine with expert illuminations of symbol history, meanings, and psychic associations, offering readers a precious and fascinating resource for...",2011-06-15,http://books.google.com/books/content?id=_O19uAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Archetype (Psychology)'],,
Cuentos macabros 2,Benjamin Lacombe,37620,https://contrapunto.cl/libro-album-ilustrado/2127-lacombe-cuentos-macabros-vol-2.html,9788414017265,,2018-09,,['Juvenile Nonfiction'],,
"Muchas vidas, muchos maestros",Brian Weiss,13500,https://contrapunto.cl/autoayuda-y-espiritualidad/8381-muchas-vidas-muchos-maestros.html,9789569977442,,,,,,
El tarot de anatomía y botánica antiguas,Claire Goodchild,30420,https://contrapunto.cl/religion-y-mitologia/10015-el-tarot-de-anatomia-y-botanica-antiguas.html,9789463594028,,,,"['Body, Mind & Spirit']",,
